order_id,order_date,customer_id,customer_name,customer_segment,region,product_id,product_name,category,subcategory,unit_price,quantity,discount_pct,discount_amount,sales_amount,cost_amount,profit_amount,payment_method,shipping_method,shipping_cost,order_priority,year,quarter,month,month_num,day_of_week
ORD-20243120,2024-01-01,CUST-4034,Customer 6085,Consumer,West,PROD_CLO_005,Clothing Product 5,Clothing,Clothing - Type E,136.98,5,0.1,68.49,616.41,410.95,205.46,Gift Card,Standard,8.82,Medium,2024,Q1,January,1,Monday
ORD-20244483,2024-01-01,CUST-9815,Customer 3519,Home Office,West,PROD_HOM_002,Home & Garden Product 2,Home & Garden,Home & Garden - Type B,358.13,2,0.15,107.44,608.82,429.76,179.06,Gift Card,Next Day,9.01,Low,2024,Q1,January,1,Monday
ORD-20242978,2024-01-01,CUST-2738,Customer 9132,Home Office,East,PROD_ELE_004,Electronics Product 4,Electronics,Electronics - Type D,262.05,4,0.0,0.0,1048.2,628.92,419.28,Credit Card,Next Day,9.42,Medium,2024,Q1,January,1,Monday
ORD-20242824,2024-01-01,CUST-6122,Customer 1680,Corporate,South,PROD_HOM_010,Home & Garden Product 10,Home & Garden,Home & Garden - Type J,313.75,4,0.0,0.0,1255.0,753.0,502.0,Credit Card,Express,20.18,Low,2024,Q1,January,1,Monday
ORD-20244818,2024-01-01,CUST-6793,Customer 2613,Home Office,East,PROD_SPO_008,Sports Product 8,Sports,Sports - Type H,195.09,1,0.15,29.26,165.83,117.05,48.78,Credit Card,Express,9.24,High,2024,Q1,January,1,Monday
ORD-20243170,2024-01-01,CUST-6061,Customer 7397,Consumer,West,PROD_SPO_004,Sports Product 4,Sports,Sports - Type D,292.61,3,0.2,175.57,702.26,526.71,175.55,PayPal,Standard,14.05,High,2024,Q1,January,1,Monday
ORD-20241455,2024-01-01,CUST-5350,Customer 8907,Consumer,South,PROD_ELE_005,Electronics Product 5,Electronics,Electronics - Type E,749.65,2,0.0,0.0,1499.3,899.58,599.72,Gift Card,Standard,28.12,Medium,2024,Q1,January,1,Monday
ORD-20243724,2024-01-01,CUST-6710,Customer 4942,Home Office,Central,PROD_TOY_006,Toys Product 6,Toys,Toys - Type F,97.23,4,0.05,19.45,369.47,233.36,136.11,Debit Card,Next Day,7.37,Low,2024,Q1,January,1,Monday
ORD-20244994,2024-01-01,CUST-3313,Customer 7892,Home Office,Central,PROD_BOO_002,Books Product 2,Books,Books - Type B,13.21,5,0.2,13.21,52.84,39.65,13.19,Gift Card,Next Day,12.33,Low,2024,Q1,January,1,Monday
ORD-20244564,2024-01-01,CUST-3132,Customer 7045,Home Office,East,PROD_BOO_008,Books Product 8,Books,Books - Type H,29.46,2,0.1,5.89,53.03,35.36,17.67,Credit Card,Standard,23.65,High,2024,Q1,January,1,Monday
ORD-20242295,2024-01-02,CUST-5428,Customer 3410,Home Office,North,PROD_CLO_001,Clothing Product 1,Clothing,Clothing - Type A,59.35,5,0.1,29.68,267.08,178.05,89.02,PayPal,Standard,13.84,Low,2024,Q1,January,1,Tuesday
ORD-20244222,2024-01-02,CUST-4037,Customer 7425,Home Office,East,PROD_BOO_010,Books Product 10,Books,Books - Type J,35.54,1,0.0,0.0,35.54,21.32,14.22,Debit Card,Express,14.46,Medium,2024,Q1,January,1,Tuesday
ORD-20242886,2024-01-02,CUST-3292,Customer 4165,Home Office,East,PROD_ELE_004,Electronics Product 4,Electronics,Electronics - Type D,262.05,5,0.2,262.05,1048.2,786.15,262.05,Gift Card,Next Day,20.61,Low,2024,Q1,January,1,Tuesday
ORD-20244893,2024-01-02,CUST-2653,Customer 5644,Corporate,East,PROD_CLO_007,Clothing Product 7,Clothing,Clothing - Type G,59.68,4,0.1,23.87,214.85,143.24,71.61,Debit Card,Express,22.34,Medium,2024,Q1,January,1,Tuesday
ORD-20243473,2024-01-03,CUST-4291,Customer 7373,Corporate,North,PROD_CLO_009,Clothing Product 9,Clothing,Clothing - Type I,165.7,1,0.15,24.85,140.84,99.42,41.42,Gift Card,Express,14.85,Low,2024,Q1,January,1,Wednesday
ORD-20242270,2024-01-03,CUST-1225,Customer 1655,Consumer,West,PROD_TOY_004,Toys Product 4,Toys,Toys - Type D,141.45,4,0.05,28.29,537.51,339.48,198.03,PayPal,Next Day,21.56,Medium,2024,Q1,January,1,Wednesday
ORD-20244528,2024-01-03,CUST-5024,Customer 7007,Corporate,East,PROD_CLO_002,Clothing Product 2,Clothing,Clothing - Type B,110.96,4,0.05,22.19,421.65,266.32,155.33,Credit Card,Next Day,15.09,High,2024,Q1,January,1,Wednesday
ORD-20240762,2024-01-03,CUST-8086,Customer 7666,Corporate,North,PROD_HOM_008,Home & Garden Product 8,Home & Garden,Home & Garden - Type H,75.46,1,0.1,7.55,67.91,45.28,22.63,Gift Card,Express,14.04,High,2024,Q1,January,1,Wednesday
ORD-20241710,2024-01-03,CUST-3383,Customer 2587,Corporate,North,PROD_TOY_006,Toys Product 6,Toys,Toys - Type F,97.23,4,0.15,58.34,330.58,233.36,97.22,Gift Card,Express,15.34,High,2024,Q1,January,1,Wednesday
ORD-20243354,2024-01-04,CUST-4776,Customer 6598,Home Office,East,PROD_TOY_009,Toys Product 9,Toys,Toys - Type I,37.06,2,0.0,0.0,74.12,44.48,29.64,Gift Card,Next Day,22.73,High,2024,Q1,January,1,Thursday
ORD-20243938,2024-01-04,CUST-3031,Customer 4118,Corporate,South,PROD_TOY_001,Toys Product 1,Toys,Toys - Type A,64.97,2,0.15,19.49,110.45,77.96,32.49,Debit Card,Standard,13.14,Medium,2024,Q1,January,1,Thursday
ORD-20242504,2024-01-04,CUST-2206,Customer 2446,Consumer,East,PROD_TOY_006,Toys Product 6,Toys,Toys - Type F,97.23,3,0.05,14.58,277.11,175.02,102.09,PayPal,Next Day,24.49,High,2024,Q1,January,1,Thursday
ORD-20244362,2024-01-04,CUST-4413,Customer 3651,Home Office,East,PROD_CLO_005,Clothing Product 5,Clothing,Clothing - Type E,136.98,4,0.15,82.19,465.73,328.76,136.97,Credit Card,Standard,25.85,Low,2024,Q1,January,1,Thursday
ORD-20241486,2024-01-04,CUST-3932,Customer 2857,Corporate,East,PROD_CLO_006,Clothing Product 6,Clothing,Clothing - Type F,118.09,1,0.1,11.81,106.28,70.85,35.43,Credit Card,Next Day,24.15,Low,2024,Q1,January,1,Thursday
ORD-20244799,2024-01-05,CUST-4921,Customer 2279,Consumer,North,PROD_HOM_007,Home & Garden Product 7,Home & Garden,Home & Garden - Type G,73.59,5,0.1,36.8,331.16,220.75,110.41,Gift Card,Next Day,25.38,Low,2024,Q1,January,1,Friday
ORD-20242422,2024-01-05,CUST-2310,Customer 8444,Home Office,South,PROD_BOO_010,Books Product 10,Books,Books - Type J,35.54,1,0.1,3.55,31.99,21.32,10.67,Debit Card,Standard,23.0,Medium,2024,Q1,January,1,Friday
ORD-20244130,2024-01-05,CUST-1818,Customer 2937,Home Office,Central,PROD_BOO_004,Books Product 4,Books,Books - Type D,30.26,1,0.1,3.03,27.23,18.16,9.07,Debit Card,Express,13.21,Medium,2024,Q1,January,1,Friday
ORD-20240395,2024-01-05,CUST-8145,Customer 5533,Corporate,South,PROD_HOM_001,Home & Garden Product 1,Home & Garden,Home & Garden - Type A,408.74,2,0.05,40.87,776.61,490.48,286.13,Debit Card,Express,16.57,Medium,2024,Q1,January,1,Friday
ORD-20244929,2024-01-05,CUST-5278,Customer 4500,Home Office,West,PROD_ELE_006,Electronics Product 6,Electronics,Electronics - Type F,692.86,3,0.0,0.0,2078.58,1247.16,831.42,Credit Card,Next Day,18.12,Low,2024,Q1,January,1,Friday
