customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-00001,Male,0,Yes,No,15,1,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,99.44,1491.6,Yes
CUST-00002,Male,0,Yes,No,24,1,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,91.59,2198.16,Yes
CUST-00003,Male,0,Yes,No,30,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,92.68,2780.4,No
CUST-00004,Male,0,Yes,Yes,49,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,92.67,4540.83,No
CUST-00005,Female,0,No,Yes,60,1,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,47.33,2839.8,No
CUST-00006,Male,0,Yes,No,64,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,93.87,6007.68,No
CUST-00007,Male,0,No,Yes,39,0,No,No,No,No,No,No,No,No,One year,No,Credit card,20.48,798.72,No
CUST-00008,Male,0,No,Yes,2,1,Yes,No,No,No,No,No,No,No,Two year,No,Credit card,53.32,106.64,No
CUST-00009,Female,0,No,Yes,8,0,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,73.85,590.8,No
CUST-00010,Female,0,No,No,6,1,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,41.95,251.7,No
CUST-00011,Female,0,Yes,No,18,1,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,83.69,1506.42,No
CUST-00012,Female,0,Yes,Yes,62,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.86,6253.32,No
CUST-00013,Female,0,Yes,Yes,53,1,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer,50.48,2675.44,No
CUST-00014,Female,0,Yes,Yes,45,0,No,No,No,No,No,No,No,No,One year,No,Bank transfer,22.1,994.5,No
CUST-00015,Female,0,No,Yes,8,0,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,77.91,623.28,No
CUST-00016,Male,0,Yes,Yes,5,1,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card,84.44,422.2,No
CUST-00017,Male,1,Yes,Yes,72,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,93.77,6751.44,No
CUST-00018,Male,0,Yes,Yes,44,1,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,81.15,3570.6,No
CUST-00019,Male,0,Yes,Yes,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card,106.81,5020.07,No
CUST-00020,Female,0,No,No,9,1,No,No,No,No,No,No,No,No,Two year,No,Mailed check,47.69,429.21,No
CUST-00021,Male,0,No,Yes,51,0,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,57.91,2953.41,No
CUST-00022,Male,1,Yes,Yes,23,1,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,80.21,1844.83,No
CUST-00023,Female,0,No,Yes,13,0,No,No,No,No,No,No,No,No,Two year,No,Credit card,15.96,207.48,No
CUST-00024,Female,1,Yes,Yes,57,1,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,37.49,2136.93,No
CUST-00025,Male,0,No,Yes,30,1,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer,66.13,1983.9,No
CUST-00026,Male,1,Yes,No,1,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Credit card,88.2,88.2,No
CUST-00027,Female,1,Yes,Yes,3,0,No,No,No,No,No,No,No,No,One year,No,Electronic check,6.72,20.16,No
CUST-00028,Male,0,No,Yes,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,91.73,4036.12,No
CUST-00029,Male,0,No,Yes,52,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,109.91,5715.32,No
CUST-00030,Male,0,Yes,Yes,59,1,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card,71.63,4226.17,No
CUST-00031,Male,0,No,Yes,1,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer,109.83,109.83,No
CUST-00032,Male,0,No,No,68,0,No,No,No,No,No,No,No,No,Two year,No,Bank transfer,14.16,962.88,No
CUST-00033,Male,0,Yes,No,38,1,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,57.03,2167.14,No
CUST-00034,Female,0,No,No,59,1,No,No,No,No,No,No,No,No,Two year,Yes,Credit card,46.96,2770.64,Yes
CUST-00035,Male,0,No,Yes,59,1,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer,74.44,4391.96,No
CUST-00036,Female,0,No,No,33,1,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,43.03,1419.99,No
CUST-00037,Female,1,No,Yes,11,1,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card,78.22,860.42,No
CUST-00038,Male,1,No,Yes,60,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,112.78,6766.8,No
CUST-00039,Male,1,No,Yes,69,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,87.8,6058.2,No
CUST-00040,Female,0,Yes,Yes,3,1,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card,80.95,242.85,No
CUST-00041,Male,1,No,No,72,1,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,79.27,5707.44,No
CUST-00042,Female,1,No,No,25,0,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,28.94,723.5,Yes
CUST-00043,Male,0,No,Yes,54,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Credit card,79.98,4318.92,Yes
CUST-00044,Male,0,No,No,8,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Credit card,93.08,744.64,No
CUST-00045,Male,0,No,No,59,1,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,35.55,2097.45,No
CUST-00046,Male,0,No,Yes,54,1,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card,45.92,2479.68,No
CUST-00047,Male,0,Yes,No,28,1,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,73.13,2047.64,No
CUST-00048,Female,0,Yes,Yes,64,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,102.52,6561.28,No
CUST-00049,Male,1,No,Yes,46,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,99.38,4571.48,No
CUST-00050,Female,1,No,Yes,63,1,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,53.7,3383.1,No
CUST-00051,Female,0,Yes,Yes,67,1,No,No,No,No,No,No,No,No,One year,No,Electronic check,43.55,2917.85,No
CUST-00052,Female,0,Yes,No,24,1,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card,75.46,1811.04,No
CUST-00053,Female,0,No,No,27,1,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card,74.41,2009.07,No
CUST-00054,Female,0,Yes,No,39,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,97.75,3812.25,No
CUST-00055,Female,1,Yes,No,25,1,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card,89.08,2227.0,Yes
CUST-00056,Female,0,No,No,14,1,No,No,No,No,No,No,No,No,One year,No,Bank transfer,42.47,594.58,No
CUST-00057,Female,0,Yes,Yes,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,94.0,6204.0,No
CUST-00058,Male,1,No,Yes,22,1,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,96.01,2112.22,Yes
CUST-00059,Female,0,Yes,Yes,70,1,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,75.04,5252.8,No
CUST-00060,Female,0,No,Yes,5,1,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card,97.13,485.65,No
CUST-00061,Female,0,No,No,47,1,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,99.46,4674.62,No
CUST-00062,Male,0,Yes,Yes,62,1,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,77.57,4809.34,No
CUST-00063,Male,0,No,Yes,58,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,87.26,5061.08,Yes
CUST-00064,Female,0,Yes,No,1,1,No,No,No,No,No,No,No,No,One year,No,Credit card,38.28,38.28,No
CUST-00065,Female,0,Yes,Yes,22,1,No,No,No,No,No,No,No,No,One year,No,Electronic check,40.43,889.46,No
CUST-00066,Male,0,Yes,Yes,29,1,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card,37.04,1074.16,Yes
CUST-00067,Female,0,No,Yes,62,1,No,No,No,No,No,No,No,No,One year,Yes,Credit card,35.37,2192.94,No
CUST-00068,Female,0,No,No,33,1,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,39.7,1310.1,No
CUST-00069,Female,0,No,No,69,1,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,40.01,2760.69,No
CUST-00070,Female,0,No,No,16,0,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card,68.78,1100.48,No
CUST-00071,Female,0,Yes,Yes,32,1,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card,30.51,976.32,No
CUST-00072,Female,0,Yes,Yes,51,1,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,56.4,2876.4,No
CUST-00073,Female,1,Yes,Yes,40,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,91.4,3656.0,Yes
CUST-00074,Female,0,Yes,No,26,1,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,46.89,1219.14,No
CUST-00075,Female,0,No,No,7,1,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card,69.76,488.32,No
CUST-00076,Female,0,No,Yes,21,1,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card,57.26,1202.46,No
CUST-00077,Male,0,No,No,24,1,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card,94.9,2277.6,No
CUST-00078,Male,0,Yes,No,24,1,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Bank transfer,80.59,1934.16,No
CUST-00079,Female,0,Yes,Yes,55,1,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,47.96,2637.8,No
CUST-00080,Male,0,No,Yes,13,1,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer,106.31,1382.03,No
CUST-00081,Female,0,Yes,Yes,19,0,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,21.62,410.78,No
CUST-00082,Male,0,Yes,No,16,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card,89.35,1429.6,No
CUST-00083,Female,0,Yes,Yes,53,1,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Electronic check,76.5,4054.5,No
CUST-00084,Male,0,No,No,18,1,No,No,No,No,No,No,No,No,One year,Yes,Credit card,39.96,719.28,No
CUST-00085,Female,1,Yes,Yes,17,1,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,96.22,1635.74,Yes
CUST-00086,Female,1,No,Yes,66,0,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,17.47,1153.02,Yes
CUST-00087,Female,1,No,No,65,1,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,81.45,5294.25,No
CUST-00088,Female,0,Yes,Yes,31,1,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer,49.06,1520.86,No
CUST-00089,Male,0,No,Yes,19,1,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer,38.49,731.31,No
CUST-00090,Female,0,No,No,72,1,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.98,3598.56,No
CUST-00091,Female,0,Yes,Yes,62,1,No,No,No,No,No,No,No,No,One year,No,Electronic check,35.77,2217.74,No
CUST-00092,Male,0,Yes,Yes,58,0,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card,74.77,4336.66,No
CUST-00093,Male,0,No,Yes,21,0,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer,69.22,1453.62,Yes
CUST-00094,Male,0,No,No,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.67,5128.83,No
CUST-00095,Female,0,Yes,Yes,3,1,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,115.95,347.85,No
CUST-00096,Female,0,Yes,Yes,8,1,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,95.96,767.68,No
CUST-00097,Female,0,Yes,Yes,41,1,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,87.53,3588.73,No
CUST-00098,Female,0,No,No,29,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,109.75,3182.75,Yes
CUST-00099,Female,1,No,No,69,1,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card,83.5,5761.5,No
CUST-00100,Female,0,Yes,No,33,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,94.34,3113.22,No
CUST-00101,Male,1,No,Yes,11,1,Yes,No,No,No,No,No,No,No,Two year,No,Electronic check,51.7,568.7,No
CUST-00102,Female,1,No,No,1,0,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer,19.57,19.57,Yes
CUST-00103,Female,0,Yes,Yes,69,1,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,50.03,3452.07,No
CUST-00104,Female,1,No,Yes,17,1,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,40.23,683.91,Yes
CUST-00105,Female,0,Yes,Yes,45,1,No,No,No,No,No,No,No,No,One year,No,Bank transfer,43.56,1960.2,No
CUST-00106,Male,0,Yes,Yes,72,0,No,No,No,No,No,No,No,No,Two year,No,Electronic check,14.38,1035.36,No
CUST-00107,Male,0,Yes,Yes,3,1,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,85.85,257.55,No
CUST-00108,Male,1,Yes,Yes,57,1,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card,55.77,3178.89,No
CUST-00109,Female,0,No,No,14,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer,87.83,1229.62,Yes
CUST-00110,Male,0,Yes,No,30,1,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,83.29,2498.7,Yes
CUST-00111,Female,0,No,Yes,38,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,98.68,3749.84,No
CUST-00112,Female,0,No,No,29,1,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,92.67,2687.43,No
CUST-00113,Female,0,Yes,Yes,69,1,No,No,No,No,No,No,No,No,One year,Yes,Credit card,29.66,2046.54,No
CUST-00114,Female,0,No,Yes,23,1,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,84.55,1944.65,Yes
CUST-00115,Female,0,Yes,Yes,8,1,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card,46.24,369.92,No
CUST-00116,Female,0,No,No,32,1,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer,73.37,2347.84,No
CUST-00117,Male,0,No,No,5,1,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card,78.82,394.1,No
CUST-00118,Male,0,No,No,12,1,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card,99.62,1195.44,No
CUST-00119,Male,0,No,No,45,1,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,84.79,3815.55,No
CUST-00120,Female,0,Yes,No,63,1,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer,45.5,2866.5,Yes
CUST-00121,Female,1,No,Yes,8,1,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,87.35,698.8,No
CUST-00122,Male,0,Yes,No,28,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,87.12,2439.36,No
CUST-00123,Male,0,No,Yes,14,1,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card,92.0,1288.0,No
CUST-00124,Male,0,Yes,No,18,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,56.08,1009.44,No
CUST-00125,Female,0,Yes,No,28,0,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card,69.69,1951.32,No
CUST-00126,Male,0,Yes,No,17,1,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,71.73,1219.41,No
CUST-00127,Male,0,No,Yes,18,0,No,No,No,No,No,No,No,No,Two year,No,Mailed check,31.87,573.66,No
CUST-00128,Male,0,Yes,No,42,1,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card,45.07,1892.94,No
CUST-00129,Male,0,Yes,Yes,59,1,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,80.14,4728.26,No
CUST-00130,Female,0,No,Yes,70,1,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,105.64,7394.8,No
CUST-00131,Female,1,Yes,Yes,62,1,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer,70.24,4354.88,No
CUST-00132,Male,1,No,Yes,6,1,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,45.85,275.1,No
CUST-00133,Male,1,No,No,6,1,Yes,No,No,No,No,No,No,No,One year,No,Mailed check,58.98,353.88,No
CUST-00134,Male,0,Yes,No,8,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card,99.63,797.04,No
CUST-00135,Female,0,Yes,Yes,26,1,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Credit card,81.4,2116.4,No
CUST-00136,Female,0,Yes,No,14,1,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer,76.3,1068.2,No
CUST-00137,Male,0,Yes,No,3,0,No,No,No,No,No,No,No,No,One year,No,Credit card,15.7,47.1,Yes
CUST-00138,Female,1,Yes,No,13,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer,93.08,1210.04,Yes
CUST-00139,Male,0,Yes,Yes,17,1,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,86.95,1478.15,No
CUST-00140,Female,0,No,No,69,1,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.98,4966.62,No
CUST-00141,Female,0,No,Yes,9,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,98.34,885.06,No
CUST-00142,Male,0,No,Yes,72,1,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer,39.05,2811.6,No
CUST-00143,Female,0,Yes,Yes,35,1,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.72,1495.2,No
CUST-00144,Male,0,Yes,No,42,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card,105.17,4417.14,No
CUST-00145,Female,0,Yes,Yes,14,1,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card,43.54,609.56,No
CUST-00146,Female,0,Yes,Yes,17,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer,126.04,2142.68,No
CUST-00147,Female,0,Yes,No,51,1,Yes,No,No,No,No,No,No,No,Two year,No,Mailed check,40.66,2073.66,No
CUST-00148,Female,0,Yes,Yes,15,1,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card,91.18,1367.7,No
CUST-00149,Male,0,No,No,27,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card,92.7,2502.9,Yes
CUST-00150,Female,0,No,Yes,68,1,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer,35.75,2431.0,No
CUST-00151,Female,1,No,Yes,38,1,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer,36.1,1371.8,No
CUST-00152,Male,0,No,Yes,8,1,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,79.02,632.16,No
CUST-00153,Male,0,No,No,2,0,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card,51.65,103.3,No
CUST-00154,Female,0,Yes,Yes,20,1,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,85.0,1700.0,No
